dataset,held_out,family,group,n_known,n_unknown,macro_f1_known,auroc,miss_at_far_1pct,miss_at_far_5pct,eer,oscr,artifact_auroc,artifact_fpr95
2wikimultihop,claude_opus_4_6,claude-4,easy,949,300,0.8298,0.6819,0.9733,0.89,0.3629,0.6272,0.661,0.9267
2wikimultihop,gemini_3_1,gemini-3,hard,950,290,0.8208,0.6618,0.9621,0.8862,0.3737,0.6059,0.6369,0.9207
2wikimultihop,gemini_3_flash,gemini-3,hard,950,289,0.8194,0.7745,0.9412,0.7993,0.2962,0.6898,0.7785,0.8512
2wikimultihop,gemma-4-31B-it,gemma-4,hard,950,297,0.8063,0.7316,0.9663,0.8451,0.3472,0.6518,0.7395,0.8485
2wikimultihop,gemma_4_26B_A4B_it,gemma-4,hard,956,279,0.8243,0.7284,0.9857,0.8961,0.3236,0.6592,0.7178,0.8889
2wikimultihop,glm_4.6v,glm-4.6v,hard,950,295,0.8173,0.7584,0.9661,0.8542,0.3058,0.6815,0.7365,0.8644
2wikimultihop,glm_4.6v_flash,glm-4.6v,hard,954,282,0.805,0.7237,0.9433,0.844,0.3434,0.6428,0.7015,0.8652
2wikimultihop,gpt_5_4,gpt-5,easy,949,300,0.7955,0.8337,0.8867,0.6433,0.2558,0.7128,0.8361,0.6967
2wikimultihop,qwen3_5_27b,qwen3.5,hard,949,296,0.7986,0.6766,0.9797,0.902,0.3816,0.6067,0.5797,0.9426
2wikimultihop,qwen3_5_9b,qwen3.5,hard,955,282,0.8209,0.7963,0.9184,0.7589,0.2865,0.7057,0.7972,0.7482
2wikimultihop,qwen3vl_30b_a3b,qwen3-vl,hard,949,300,0.7838,0.6526,0.9733,0.8867,0.4094,0.5776,0.5912,0.9233
2wikimultihop,qwen3vl_8b,qwen3-vl,hard,949,296,0.7852,0.7123,0.9899,0.8784,0.3447,0.6355,0.713,0.875
2wikimultihop,seed_2_lite,seed-2,easy,950,297,0.789,0.4479,0.9933,0.963,0.5351,0.4136,0.4726,0.963
2wikimultihop,uitars_7b,uitars-1.5,easy,952,293,0.796,0.6133,0.9829,0.901,0.4343,0.5531,0.6355,0.9147
