grouping,dataset,group,macro_f1_known_mean,macro_f1_known_std,auroc_mean,auroc_std,eer_mean,eer_std,oscr_mean,oscr_std,miss_at_far_1pct_mean,miss_at_far_1pct_std,miss_at_far_5pct_mean,miss_at_far_5pct_std
group,2wikimultihop,easy,0.8026,0.0184,0.6442,0.16,0.397,0.1177,0.5767,0.1268,0.959,0.0489,0.8493,0.1411
group,2wikimultihop,hard,0.8082,0.015,0.7216,0.0475,0.3412,0.0394,0.6457,0.0407,0.9626,0.0224,0.8551,0.0459
group,deepshop,easy,0.7304,0.0131,0.6088,0.1278,0.4246,0.0856,0.5115,0.0991,0.9967,0.0066,0.9374,0.0505
group,deepshop,hard,0.7372,0.0115,0.6863,0.0712,0.3759,0.0566,0.5675,0.0492,0.9782,0.0151,0.8813,0.0574
group,frames,easy,0.7469,0.0168,0.6859,0.0846,0.3644,0.0596,0.5855,0.0582,0.975,0.0294,0.9163,0.0637
group,frames,hard,0.7668,0.0234,0.7044,0.0907,0.3559,0.0728,0.605,0.0722,0.9741,0.0171,0.8828,0.0541
group,webshop,easy,0.7546,0.021,0.6091,0.1753,0.4226,0.1144,0.5206,0.1451,0.9747,0.0166,0.8969,0.0559
group,webshop,hard,0.7659,0.011,0.6715,0.0856,0.3831,0.0635,0.5753,0.0646,0.9663,0.0173,0.863,0.0613
group,all,easy,0.7586,0.0319,0.637,0.1305,0.4022,0.0905,0.5486,0.1059,0.9764,0.0301,0.9,0.084
group,all,hard,0.7695,0.0299,0.696,0.0751,0.364,0.0594,0.5984,0.0638,0.9703,0.0185,0.8705,0.0542
group_table11,2wikimultihop,easy,0.8084,0.0169,0.6688,0.1345,0.3763,0.0997,0.6004,0.1082,0.9566,0.0387,0.8471,0.1127
group_table11,2wikimultihop,hard,0.8052,0.0154,0.7225,0.0446,0.3428,0.0394,0.6451,0.0403,0.9653,0.0238,0.8582,0.046
group_table11,deepshop,easy,0.7331,0.0124,0.6367,0.1085,0.4088,0.0711,0.5331,0.0838,0.9887,0.0158,0.9228,0.0462
group_table11,deepshop,hard,0.7369,0.0121,0.6848,0.0802,0.3756,0.0638,0.5653,0.0555,0.9796,0.0152,0.8782,0.0641
group_table11,frames,easy,0.7633,0.0291,0.714,0.0788,0.3437,0.0563,0.6126,0.0621,0.9683,0.0255,0.8849,0.0695
group_table11,frames,hard,0.7595,0.0194,0.6879,0.0949,0.3693,0.076,0.5895,0.0727,0.9789,0.015,0.8979,0.0494
group_table11,webshop,easy,0.7584,0.018,0.6367,0.1451,0.4045,0.0955,0.5448,0.1203,0.9727,0.0188,0.892,0.0611
group_table11,webshop,hard,0.7658,0.0118,0.6664,0.0932,0.3869,0.069,0.5708,0.0702,0.9657,0.016,0.8582,0.0584
group_table11,all,easy,0.7658,0.0335,0.6641,0.1161,0.3833,0.0815,0.5727,0.0964,0.9716,0.0271,0.8867,0.0764
group_table11,all,hard,0.7669,0.0288,0.6904,0.0795,0.3686,0.0626,0.5927,0.0663,0.9724,0.0184,0.8731,0.0549
