level,heldout,k,variant,macro_f1_mean,n_fits,ci_lo,ci_hi,sibling_in_train
heldout+k+variant,2wikimultihop,1,budget,0.2789,20.0,0.2655,0.2888,
heldout+k+variant,2wikimultihop,1,raw,0.2967,20.0,0.2827,0.3073,
heldout+k+variant,2wikimultihop,2,budget,0.3589,30.0,0.3428,0.3716,
heldout+k+variant,2wikimultihop,2,raw,0.402,30.0,0.3835,0.4173,
heldout+k+variant,2wikimultihop,3,budget,0.4003,20.0,0.3818,0.4153,
heldout+k+variant,2wikimultihop,3,raw,0.4704,20.0,0.4474,0.4901,
heldout+k+variant,2wikimultihop,4,budget,0.4303,5.0,0.4072,0.4484,
heldout+k+variant,2wikimultihop,4,raw,0.5147,5.0,0.4855,0.5382,
heldout+k+variant,deepshop,1,budget,0.2516,20.0,0.2332,0.264,
heldout+k+variant,deepshop,1,raw,0.2691,20.0,0.2474,0.285,
heldout+k+variant,deepshop,2,budget,0.3307,30.0,0.3059,0.3478,
heldout+k+variant,deepshop,2,raw,0.4004,30.0,0.3714,0.422,
heldout+k+variant,deepshop,3,budget,0.3663,20.0,0.339,0.3864,
heldout+k+variant,deepshop,3,raw,0.4734,20.0,0.4367,0.5006,
heldout+k+variant,deepshop,4,budget,0.3781,5.0,0.3456,0.4037,
heldout+k+variant,deepshop,4,raw,0.5248,5.0,0.4811,0.5597,
heldout+k+variant,frames,1,budget,0.2714,20.0,0.2589,0.2818,
heldout+k+variant,frames,1,raw,0.2855,20.0,0.272,0.2976,
heldout+k+variant,frames,2,budget,0.3509,30.0,0.3363,0.3641,
heldout+k+variant,frames,2,raw,0.3855,30.0,0.3674,0.4006,
heldout+k+variant,frames,3,budget,0.378,20.0,0.3604,0.3946,
heldout+k+variant,frames,3,raw,0.4374,20.0,0.4161,0.4576,
heldout+k+variant,frames,4,budget,0.4011,5.0,0.3797,0.4212,
heldout+k+variant,frames,4,raw,0.4697,5.0,0.4409,0.4968,
heldout+k+variant,webshop,1,budget,0.2846,20.0,0.2718,0.2962,
heldout+k+variant,webshop,1,raw,0.2942,20.0,0.2809,0.3068,
heldout+k+variant,webshop,2,budget,0.3329,30.0,0.3174,0.3464,
heldout+k+variant,webshop,2,raw,0.3875,30.0,0.3702,0.4038,
heldout+k+variant,webshop,3,budget,0.3478,20.0,0.3307,0.3625,
heldout+k+variant,webshop,3,raw,0.4319,20.0,0.4098,0.4529,
heldout+k+variant,webshop,4,budget,0.3752,5.0,0.3548,0.3932,
heldout+k+variant,webshop,4,raw,0.4732,5.0,0.4444,0.5014,
k+variant,,1,budget,0.2716,80.0,0.2636,0.276,
k+variant,,1,raw,0.2864,80.0,0.2777,0.2918,
k+variant,,2,budget,0.3433,120.0,0.3335,0.3494,
k+variant,,2,raw,0.3939,120.0,0.3827,0.4013,
k+variant,,3,budget,0.3731,80.0,0.3619,0.3808,
k+variant,,3,raw,0.4533,80.0,0.4394,0.4625,
k+variant,,4,budget,0.3962,20.0,0.3824,0.4049,
k+variant,,4,raw,0.4956,20.0,0.4781,0.508,
k+variant+sibling_in_train,,1,budget,0.2029,60.0,0.1951,0.2079,False
k+variant+sibling_in_train,,1,budget,0.4777,20.0,0.4624,0.4884,True
k+variant+sibling_in_train,,1,raw,0.2117,60.0,0.2029,0.2178,False
k+variant+sibling_in_train,,1,raw,0.5104,20.0,0.4936,0.5223,True
k+variant+sibling_in_train,,2,budget,0.2559,60.0,0.2458,0.2623,False
k+variant+sibling_in_train,,2,budget,0.4308,60.0,0.4184,0.4389,True
k+variant+sibling_in_train,,2,raw,0.2801,60.0,0.2676,0.2893,False
k+variant+sibling_in_train,,2,raw,0.5076,60.0,0.4933,0.5176,True
k+variant+sibling_in_train,,3,budget,0.2761,20.0,0.2646,0.2846,False
k+variant+sibling_in_train,,3,budget,0.4054,60.0,0.3931,0.4135,True
k+variant+sibling_in_train,,3,raw,0.3085,20.0,0.2925,0.3199,False
k+variant+sibling_in_train,,3,raw,0.5015,60.0,0.4858,0.5124,True
k+variant+sibling_in_train,,4,budget,0.3962,20.0,0.3824,0.4049,True
k+variant+sibling_in_train,,4,raw,0.4956,20.0,0.4781,0.508,True
