fit_id,heldout,k,combo,variant,seed,sibling_in_train,n_train,macro_f1
0,2wikimultihop,1,frames,raw,0,True,2100,0.5399
1,2wikimultihop,1,frames,raw,1,True,2100,0.5408
2,2wikimultihop,1,frames,raw,2,True,2100,0.5412
3,2wikimultihop,1,frames,raw,3,True,2100,0.5279
4,2wikimultihop,1,frames,raw,4,True,2100,0.5407
5,2wikimultihop,1,frames,budget,0,True,1023,0.4846
6,2wikimultihop,1,frames,budget,1,True,1023,0.4953
7,2wikimultihop,1,frames,budget,2,True,1023,0.4944
8,2wikimultihop,1,frames,budget,3,True,1023,0.4648
9,2wikimultihop,1,frames,budget,4,True,1023,0.4711
10,2wikimultihop,1,webshop,raw,0,False,2054,0.2739
11,2wikimultihop,1,webshop,raw,1,False,2054,0.2691
12,2wikimultihop,1,webshop,raw,2,False,2054,0.2716
13,2wikimultihop,1,webshop,raw,3,False,2054,0.2718
14,2wikimultihop,1,webshop,raw,4,False,2054,0.2773
15,2wikimultihop,1,webshop,budget,0,False,1023,0.246
16,2wikimultihop,1,webshop,budget,1,False,1023,0.249
17,2wikimultihop,1,webshop,budget,2,False,1023,0.2428
18,2wikimultihop,1,webshop,budget,3,False,1023,0.2728
19,2wikimultihop,1,webshop,budget,4,False,1023,0.2614
20,2wikimultihop,1,deepshop,raw,0,False,1023,0.2543
21,2wikimultihop,1,deepshop,raw,1,False,1023,0.2522
22,2wikimultihop,1,deepshop,raw,2,False,1023,0.2596
23,2wikimultihop,1,deepshop,raw,3,False,1023,0.2609
24,2wikimultihop,1,deepshop,raw,4,False,1023,0.2661
25,2wikimultihop,1,deepshop,budget,0,False,1023,0.2567
26,2wikimultihop,1,deepshop,budget,1,False,1023,0.2655
27,2wikimultihop,1,deepshop,budget,2,False,1023,0.2601
28,2wikimultihop,1,deepshop,budget,3,False,1023,0.2607
29,2wikimultihop,1,deepshop,budget,4,False,1023,0.2559
30,2wikimultihop,1,webgames,raw,0,False,1276,0.1251
31,2wikimultihop,1,webgames,raw,1,False,1276,0.1163
32,2wikimultihop,1,webgames,raw,2,False,1276,0.1159
33,2wikimultihop,1,webgames,raw,3,False,1276,0.1108
34,2wikimultihop,1,webgames,raw,4,False,1276,0.1191
35,2wikimultihop,1,webgames,budget,0,False,1023,0.1088
36,2wikimultihop,1,webgames,budget,1,False,1023,0.1231
37,2wikimultihop,1,webgames,budget,2,False,1023,0.1317
38,2wikimultihop,1,webgames,budget,3,False,1023,0.1156
39,2wikimultihop,1,webgames,budget,4,False,1023,0.1176
40,2wikimultihop,2,frames+webshop,raw,0,True,4154,0.5454
41,2wikimultihop,2,frames+webshop,raw,1,True,4154,0.5278
42,2wikimultihop,2,frames+webshop,raw,2,True,4154,0.5377
43,2wikimultihop,2,frames+webshop,raw,3,True,4154,0.5343
44,2wikimultihop,2,frames+webshop,raw,4,True,4154,0.5318
45,2wikimultihop,2,frames+webshop,budget,0,True,1023,0.4529
46,2wikimultihop,2,frames+webshop,budget,1,True,1023,0.4182
47,2wikimultihop,2,frames+webshop,budget,2,True,1023,0.4445
48,2wikimultihop,2,frames+webshop,budget,3,True,1023,0.4511
49,2wikimultihop,2,frames+webshop,budget,4,True,1023,0.4485
50,2wikimultihop,2,frames+deepshop,raw,0,True,3123,0.5426
51,2wikimultihop,2,frames+deepshop,raw,1,True,3123,0.5485
52,2wikimultihop,2,frames+deepshop,raw,2,True,3123,0.5516
53,2wikimultihop,2,frames+deepshop,raw,3,True,3123,0.5374
