src,dst,convention,macro_f1,n_eval,artifact_macro_f1,paper_macro_f1
2wikimultihop,2wikimultihop,test_split,0.8053,1024,,
2wikimultihop,frames,test_split,0.418,1050,,
2wikimultihop,frames,full_pool,0.41,10949,0.4107,0.4107
2wikimultihop,webshop,test_split,0.2312,1036,,
2wikimultihop,webshop,full_pool,0.2395,4130,0.2428,
2wikimultihop,deepshop,test_split,0.1951,523,,
2wikimultihop,deepshop,full_pool,0.1853,2052,0.1864,
frames,2wikimultihop,test_split,0.5371,1024,,
frames,2wikimultihop,full_pool,0.5103,4094,0.4976,0.4976
frames,frames,test_split,0.7616,1050,,
frames,webshop,test_split,0.2676,1036,,
frames,webshop,full_pool,0.265,4130,0.2632,
frames,deepshop,test_split,0.2802,523,,
frames,deepshop,full_pool,0.2781,2052,0.2853,
webshop,2wikimultihop,test_split,0.2684,1024,,
webshop,2wikimultihop,full_pool,0.2393,4094,0.2144,
webshop,frames,test_split,0.3028,1050,,
webshop,frames,full_pool,0.3079,10949,0.3053,
webshop,webshop,test_split,0.7506,1036,,
webshop,deepshop,test_split,0.5132,523,,
webshop,deepshop,full_pool,0.5266,2052,0.5272,0.5272
deepshop,2wikimultihop,test_split,0.2689,1024,,
deepshop,2wikimultihop,full_pool,0.2309,4094,0.2152,
deepshop,frames,test_split,0.2856,1050,,
deepshop,frames,full_pool,0.2824,10949,0.2816,
deepshop,webshop,test_split,0.5914,1036,,
deepshop,webshop,full_pool,0.5591,4130,0.5587,0.5587
deepshop,deepshop,test_split,0.7018,523,,
pooled_wikipedia,2wikimultihop,test_split,0.8168,1024,,
pooled_wikipedia,frames,test_split,0.7604,1050,,
pooled_wikipedia,webshop,test_split,0.2667,1036,,
pooled_wikipedia,webshop,full_pool,0.2682,4130,,
pooled_wikipedia,deepshop,test_split,0.2765,523,,
pooled_wikipedia,deepshop,full_pool,0.2986,2052,,
pooled_amazon,2wikimultihop,test_split,0.3091,1024,,
pooled_amazon,2wikimultihop,full_pool,0.2767,4094,,
pooled_amazon,frames,test_split,0.3325,1050,,
pooled_amazon,frames,full_pool,0.3292,10949,,
pooled_amazon,webshop,test_split,0.798,1036,,
pooled_amazon,deepshop,test_split,0.7252,523,,
